Subjects,Matthew,Mark,Luke,John
Pre-Christ Narratives,,,,
St. Luke's preface,,,1:1-4,
"""God the Word""",,,,1:1-14
The Birth and Early Childhood of Christ,,,,
Birth of John Baptist foretold,,,1:5-25, 
Annunciation of the birth of Jesus,,,1:26-38,
Mary visits Elizabeth,,,1:39-56,
Birth of John the Baptist,,,1:57-80,
The two genealogies,1:1-17,,3:23-38, 
Birth of Jesus Christ,1:18-25,,2:1-7, 
The watching shepherds,,,2:8-20, 
The circumcision,,,2:21, 
Presentation in the temple,,,2:22-38,
The wise men from the East,2:1-12,,,   
Flight into Egypt and return to Nazareth,2:13-23,,2:39,
Christ in the temple with the doctors,,,2:40-52, 
The Baptism of Christ,,,,
Ministry of John the Baptist,3:1-12,1:1-8,3:1-18,1:15-31
Baptism of Jesus Christ,3:13-17,1:9-11,3:21-22,1:32-34
The Temptation of Christ,,,,
The temptation,4:1-11,1:12-13,4:1-13,
The Early Ministry of Christ,,,,
Andrew and another disciple and Simon Peter,,,,1:35-42
Philip and Nathanael,,,,1:43-51
The marriage in Cana of Galilee,,,,2:1-11
Passover and cleansing the temple,,,,2:12-25
Nicodemus comes to Jesus by night,,,,3:1-21
Christ and John baptizing,,,, 3:22; 4:2
Christ at the well of Sychar,,,,4:3-42
John the Baptist in prison,4:12; 14:3,1:14; 6:17,3:19-20,3:24
Christ returns to Galilee,4:12,1:14-15,4:14-15,4:43-45
The synagogue at Nazareth,,,4:16-30,
"Andrew and Simon; James and John called",4:13-22,1:16-20,5:1-11,
Miracles of Christ,,,,
The nobleman’s son at Capernaum healed,,,,4:46-54
The demoniac in the synagogue healed,,1:21-28,4:31-37,
Simon’s wife’s mother healed,8:14-17,1:29-34,4:38-41,
Circuit round Galilee,4:23-25,1:35-39,4:42-44 ,
Healing a leper,8:1-4,1:40-45,5:12-16 ,
Christ stills the storm,8:18-27,4:35-41,8:22-25, 
Demoniacs in the land of the Gadarenes,8:28-34,5:1-20,8:26-39, 
Jairus' daughter. Woman healed,9:18-26,5:21-43,8:40-56, 
Blind men and demoniac,9:27-34,,,    
Healing the paralytic,9:1-8,2:1-12,5:17-26, 
Matthew the publican,9:9-13,2:13-17,5:27-32, 
“Thy disciples fast not”,9:14-17,2:18-22,5:33-39, 
The Feast and Miracle at Bethesda,,,,
The feast at Jerusalem,,,,5:1
The pool of Bethesda,,,,5:2-15
Jesus and the irate Jews,,,,5:16-47
Ministry and Parables,,,,
Plucking ears of corn on the Sabbath,12:1-8,2:23-28,6:1-5, 
The withered hand. Miracles,12:9-21,3:1-12,6:6-11, 
The twelve apostles,10:2-4,3:13-19,6:12-16, 
The sermon on the mount,5:1-7:29,,6:17-49,
The centurion’s servant healed,8:5-13,,7:1-10,
The widow’s son at Nain,,,7:11-17,
Messengers from john,11:2-19,,7:18-35,
Woe denounced to the cities of Galilee,11:20-24,,,
Call to the meek and suffering,11:25-30,,,
Anointing the feet of Jesus,,,7:36-50,
Second circuit round Galilee,,,8:1-3,
Parable of the sower,13:1-23,4:1-20,8:4-15,
Parable of the candle under a bushel,,4:21-25,8:16-18,
